,ID,Year_Birth,Age,Generation,Education,Income,Dt_Customer,IncomeCategory,FamilyQty,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Total_Amount,Deals_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visit,Freq_Purchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Latest_Cmp,Total_AccCmp
42,8430,1957,57,Baby Boomer,Graduation,21994.0,2012-12-24,Low,3,4,9,0,6,3,1,3,22,1,0,0,3,5,3,0,0,0,0,0,0,0,0
44,2139,1975,39,Gen X,Master,7500.0,2013-10-02,Low,3,19,3,1,10,3,2,12,31,3,2,0,3,5,5,0,0,0,0,0,0,0,0
45,1371,1976,38,Gen X,Graduation,79941.0,2014-06-28,High,1,72,123,164,266,227,30,174,984,1,2,4,9,1,15,0,0,0,0,0,0,0,0
47,7286,1968,46,Gen X,Graduation,41728.0,2013-05-24,Middle,3,92,13,6,15,3,5,13,55,1,2,0,2,10,4,0,0,0,0,0,0,0,0
49,6566,1954,60,Baby Boomer,PhD,72550.0,2012-11-08,High,4,39,826,50,317,50,38,38,1319,9,5,2,12,8,19,0,0,0,0,0,0,0,0
50,8614,1957,57,Baby Boomer,Graduation,65486.0,2014-05-12,High,2,29,245,19,125,37,67,14,507,1,4,2,10,2,16,0,0,0,0,0,0,0,0
51,4114,1964,50,Gen X,Master,79143.0,2012-08-11,High,2,2,650,37,780,27,167,32,1693,1,6,9,13,3,28,0,0,0,0,0,0,0,0
52,1331,1977,37,Gen X,Graduation,35790.0,2013-01-02,Middle,2,54,12,6,20,30,1,3,72,2,2,0,3,7,5,0,0,0,0,0,0,0,0
53,2225,1977,37,Gen X,Graduation,82582.0,2014-06-07,High,1,54,510,120,550,156,40,241,1617,1,4,9,7,1,20,1,0,0,1,0,0,1,3
54,9381,1978,36,Gen X,Graduation,66373.0,2013-06-12,High,4,57,328,9,124,12,24,109,606,7,4,2,10,3,16,0,0,0,0,0,0,0,0
55,6260,1955,59,Baby Boomer,Master,82384.0,2012-11-19,High,2,55,984,51,432,180,120,190,1957,1,3,10,13,1,26,0,0,1,0,0,0,1,2
56,10383,1966,48,Gen X,Graduation,70287.0,2013-04-02,High,1,30,295,35,482,121,120,40,1093,1,5,5,10,3,20,0,0,0,0,0,0,1,1
57,7437,1988,26,Millennials,Graduation,27938.0,2014-04-28,Low,2,31,13,0,8,2,1,5,29,1,1,0,4,3,5,0,0,0,0,0,0,0,0
59,8375,1968,46,Gen X,PhD,55954.0,2014-03-03,Middle,3,63,447,0,28,0,0,43,518,3,8,2,6,7,16,0,0,0,0,0,0,0,0
60,6853,1982,32,Millennials,Master,75777.0,2013-07-04,High,1,12,712,26,538,69,13,80,1438,1,3,6,11,1,20,0,1,1,0,0,0,1,3
61,3076,1975,39,Gen X,Graduation,66653.0,2012-09-07,High,4,18,452,18,102,16,18,6,612,4,4,2,12,3,18,0,0,0,0,0,0,0,0
62,1012,1952,62,Baby Boomer,Graduation,61823.0,2013-02-18,High,2,26,523,7,134,37,14,169,884,4,8,2,10,7,20,0,0,0,0,0,0,0,0
63,6518,1951,63,Baby Boomer,PhD,67680.0,2013-06-11,High,2,8,546,0,48,0,6,6,606,1,7,3,8,5,18,0,0,0,0,0,0,0,0
64,4137,1948,66,Baby Boomer,Graduation,70666.0,2013-12-06,High,2,29,398,40,367,119,122,30,1076,1,7,4,4,4,15,0,0,0,0,0,0,0,0
65,8082,1971,43,Gen X,Graduation,25721.0,2013-05-21,Low,3,75,1,3,6,3,6,15,34,1,1,1,2,7,4,0,0,0,0,0,0,1,1
66,1386,1967,47,Gen X,Graduation,32474.0,2014-05-11,Middle,4,0,10,0,1,0,0,0,11,1,1,0,2,7,3,0,0,0,0,0,0,0,0
67,9369,1979,35,Gen X,Master,88194.0,2014-03-19,High,2,19,688,14,309,201,24,38,1274,1,11,10,10,5,31,1,0,0,1,0,0,1,3
68,4477,1958,56,Baby Boomer,Graduation,69096.0,2013-09-27,High,3,4,247,49,159,7,82,109,653,1,5,2,10,4,17,0,0,0,0,0,0,0,0
69,1357,1970,44,Gen X,Graduation,74854.0,2013-04-08,High,5,90,856,59,487,58,29,73,1562,7,2,5,5,5,12,0,0,0,0,0,0,0,0
70,1402,1954,60,Baby Boomer,Master,66991.0,2012-09-11,High,2,1,496,36,460,189,60,12,1253,3,4,8,6,3,18,0,0,0,0,0,0,0,0
72,6312,1959,55,Baby Boomer,Graduation,65031.0,2013-03-17,High,3,29,258,107,291,84,37,86,863,4,10,3,13,7,26,0,0,0,0,0,0,0,0
73,8132,1975,39,Gen X,PhD,60631.0,2013-04-05,High,4,88,565,6,65,0,6,19,661,5,9,2,8,7,19,0,1,0,0,0,0,0,1
74,1050,1952,62,Baby Boomer,Graduation,28332.0,2014-04-30,Low,2,58,14,10,13,4,15,9,65,1,2,1,4,2,7,0,0,0,0,0,0,0,0
75,5846,1977,37,Gen X,Graduation,40246.0,2012-12-19,Middle,2,68,2,1,6,2,1,1,13,1,1,0,2,6,3,0,0,0,0,0,0,0,0
76,1859,1972,42,Gen X,Master,75251.0,2012-08-27,High,2,34,721,111,925,97,18,18,1890,1,7,6,5,5,18,0,0,0,0,0,0,1,1
77,7503,1976,38,Gen X,Graduation,75825.0,2012-10-12,High,1,40,1032,105,779,137,105,51,2209,0,5,8,9,4,22,1,0,0,0,0,0,1,2
78,10401,1976,38,Gen X,Master,26326.0,2013-09-04,Low,2,12,1,0,5,0,3,9,18,1,0,0,3,3,3,0,0,0,0,0,1,0,0
79,1618,1965,49,Gen X,Graduation,56046.0,2013-01-02,Middle,2,9,577,0,64,0,0,51,692,2,10,1,8,8,19,1,0,0,0,0,0,1,2
80,3332,1985,29,Millennials,Graduation,29760.0,2012-08-29,Low,2,87,64,4,68,7,5,17,165,4,3,1,4,8,8,0,0,0,0,0,0,0,0
81,2261,1969,45,Gen X,Graduation,26304.0,2013-06-23,Low,3,5,4,1,5,2,0,4,16,1,1,0,2,7,3,0,0,0,0,0,0,0,0
82,5346,1973,41,Gen X,Master,23559.0,2013-07-03,Low,3,87,25,5,19,7,0,23,79,3,3,0,3,7,6,0,0,0,0,0,0,0,0
84,535,1987,27,Millennials,Graduation,81361.0,2014-02-25,High,1,18,163,23,424,27,65,76,778,1,3,10,13,1,26,0,0,0,0,0,0,0,0
85,5268,1960,54,Baby Boomer,Graduation,29440.0,2013-08-11,Low,4,95,17,8,14,10,4,3,56,2,1,0,4,7,5,0,0,0,0,0,0,0,0
86,273,1970,44,Gen X,Master,36138.0,2013-07-16,Middle,4,48,130,0,16,0,0,5,151,5,3,1,4,7,8,0,1,0,0,0,0,0,1
87,4452,1957,57,Baby Boomer,Graduation,50388.0,2014-05-28,Middle,2,3,292,6,37,0,3,34,372,4,6,1,6,7,13,0,1,0,1,0,0,1,3
88,8504,1973,41,Gen X,Graduation,79593.0,2014-05-12,High,2,70,350,60,568,110,133,145,1366,1,5,6,7,2,18,0,0,1,0,0,0,0,1
89,771,1967,47,Gen X,Graduation,54178.0,2014-01-21,Middle,3,79,135,9,39,4,0,7,194,1,2,2,5,2,9,0,0,0,0,0,0,0,0
93,11178,1972,42,Gen X,Master,42394.0,2014-03-23,Middle,2,69,15,2,10,0,1,4,32,1,1,0,3,7,4,0,0,0,0,0,0,0,0
94,2230,1970,44,Gen X,PhD,23626.0,2014-05-24,Low,3,84,27,2,14,0,0,0,43,3,3,1,3,5,7,0,0,0,0,0,0,0,0
95,7516,1983,31,Millennials,Graduation,30096.0,2014-05-22,Middle,3,30,5,3,11,12,5,9,45,1,2,0,3,6,5,0,0,0,0,0,0,0,0
96,7247,1960,54,Baby Boomer,Graduation,47916.0,2012-11-22,Middle,2,72,505,0,26,0,0,75,606,5,7,4,6,6,17,0,1,0,0,0,0,0,1
97,11100,1972,42,Gen X,Graduation,51813.0,2013-04-11,Middle,3,37,51,2,7,0,1,2,63,2,2,0,3,7,5,0,0,0,0,0,0,0,0
98,4646,1951,63,Baby Boomer,Master,78497.0,2013-12-01,High,2,44,207,26,447,75,0,223,978,1,5,7,12,2,24,0,0,0,1,0,0,0,1
99,3037,1983,31,Millennials,PhD,50150.0,2013-06-20,Middle,2,32,135,46,92,65,61,11,410,2,5,2,7,5,14,0,0,0,0,0,0,0,0
100,1473,1960,54,Baby Boomer,Master,47823.0,2013-07-23,Middle,2,0,53,1,5,2,1,10,72,2,2,0,3,8,5,0,0,0,0,0,0,0,0
101,1016,1959,55,Baby Boomer,PhD,34554.0,2014-03-30,Middle,2,43,41,1,6,2,0,5,55,2,2,0,3,6,5,0,0,0,0,0,0,0,0
102,4518,1979,35,Gen X,Graduation,85693.0,2013-04-20,High,3,59,386,172,183,185,132,111,1169,2,9,5,11,5,25,0,0,0,0,0,0,0,0
103,9370,1945,69,Silent Gen,PhD,65846.0,2013-05-17,High,2,68,562,81,276,80,40,81,1120,1,6,3,6,4,15,0,0,0,0,0,0,0,0
104,8908,1959,55,Baby Boomer,Graduation,87195.0,2014-05-08,High,2,35,217,76,690,50,26,38,1097,1,3,11,5,1,19,0,0,0,0,0,0,1,1
105,8373,1979,35,Gen X,Basic,24594.0,2013-12-10,Low,3,94,1,3,6,10,0,9,29,1,1,0,3,5,4,0,0,0,0,0,0,0,0
106,7533,1964,50,Gen X,Graduation,49096.0,2013-09-24,Middle,4,15,144,1,32,2,1,7,187,4,4,1,4,7,9,0,0,0,0,0,0,0,0
107,2683,1969,45,Gen X,Graduation,52413.0,2013-02-02,Middle,4,56,295,106,271,75,98,65,910,4,6,4,12,6,22,0,0,0,0,0,0,0,0
108,3629,1978,36,Gen X,Graduation,38557.0,2012-12-19,Middle,2,17,76,3,31,4,4,27,145,2,3,1,3,7,7,0,0,0,0,0,0,0,0
109,10991,1960,54,Baby Boomer,Master,89058.0,2012-12-07,High,2,18,454,194,106,31,22,43,850,1,5,4,4,2,13,0,0,0,0,0,0,0,0
110,5077,1979,35,Gen X,Graduation,77298.0,2013-11-02,High,3,46,425,115,292,23,35,79,969,1,6,6,11,3,23,0,0,0,0,0,0,0,0
111,7431,1991,23,Millennials,PhD,68126.0,2012-11-10,High,1,40,1332,17,311,23,51,86,1820,1,7,4,5,9,16,0,1,0,0,0,0,1,2
112,3267,1963,51,Baby Boomer,Master,57288.0,2014-06-25,Middle,3,27,527,0,21,0,0,60,608,3,8,1,8,6,17,0,1,0,0,0,0,0,1
113,999,1991,23,Millennials,Graduation,86037.0,2013-01-02,High,1,95,490,44,125,29,20,22,730,1,6,7,11,3,24,0,1,1,0,0,0,1,3
114,9215,1980,34,Millennials,PhD,43974.0,2012-12-12,Middle,3,19,378,0,101,0,0,72,551,5,6,4,6,7,16,0,0,0,0,0,0,0,0
115,2286,1962,52,Baby Boomer,Graduation,50785.0,2013-09-10,Middle,3,27,64,1,21,0,1,27,114,2,2,1,3,6,6,0,0,0,0,0,0,0,0
116,1592,1970,44,Gen X,Graduation,90765.0,2014-01-24,Very High,2,25,547,99,812,151,82,33,1724,0,4,6,5,1,15,0,0,1,1,0,0,0,2
117,367,1978,36,Gen X,Master,36550.0,2013-02-19,Middle,3,74,47,90,94,123,103,120,577,5,9,1,5,9,15,0,0,0,0,0,0,0,0
118,5234,1967,47,Gen X,Master,30753.0,2013-07-11,Middle,4,85,12,5,25,0,9,30,81,2,1,1,3,5,5,0,0,0,0,0,0,0,0
119,9862,1969,45,Gen X,Graduation,21918.0,2013-11-14,Low,3,37,1,6,7,11,5,3,33,2,2,0,3,6,5,0,0,0,0,0,0,0,0
120,9805,1953,61,Baby Boomer,Master,56129.0,2013-06-20,Middle,3,65,320,48,133,39,72,48,660,4,6,2,10,4,18,0,0,0,0,0,0,0,0
121,6205,1967,47,Gen X,Master,32557.0,2014-02-24,Middle,2,13,34,3,29,0,4,10,80,3,2,1,3,5,6,0,0,0,0,0,0,1,1
122,8442,1985,29,Millennials,Master,19510.0,2013-09-04,Low,4,63,9,0,7,3,4,7,30,2,1,0,3,7,4,0,0,0,0,0,0,0,0
123,7386,1976,38,Gen X,Graduation,30992.0,2013-04-22,Middle,2,83,17,0,14,7,3,2,43,1,1,0,3,7,4,0,0,0,0,0,0,0,0
124,7215,1983,31,Millennials,Graduation,101970.0,2013-03-12,Very High,1,69,722,27,102,44,72,168,1135,0,6,8,13,2,27,0,1,1,1,0,0,1,4
125,1491,1965,49,Gen X,Master,71488.0,2013-02-18,High,2,87,162,33,124,40,28,172,559,2,3,4,7,1,14,0,0,0,0,0,0,0,0
126,11071,1984,30,Millennials,Graduation,79607.0,2013-04-21,High,1,37,450,133,951,173,0,216,1923,1,3,6,6,1,15,0,0,0,0,0,0,1,1
127,3381,1953,61,Baby Boomer,Master,54348.0,2014-06-08,Middle,4,51,70,0,16,0,0,4,90,2,2,0,4,6,6,0,0,0,0,0,0,0,0
129,11051,1956,58,Baby Boomer,PhD,77376.0,2014-05-10,High,4,72,492,19,110,16,12,12,661,4,6,3,10,4,19,0,0,0,0,0,0,0,0
130,8026,1952,62,Baby Boomer,Graduation,62998.0,2013-09-30,High,3,10,120,58,73,65,89,58,463,5,5,4,5,5,14,0,0,0,0,0,0,0,0
131,433,1958,56,Baby Boomer,Master,61331.0,2013-03-10,High,3,42,534,5,47,0,5,41,632,5,11,1,6,8,18,0,0,0,0,0,0,0,0
132,9597,1969,45,Gen X,Graduation,73448.0,2014-02-10,High,2,10,236,106,189,23,41,130,725,1,7,2,9,4,18,0,0,0,0,0,0,0,0
134,5290,1964,50,Gen X,PhD,41551.0,2013-08-14,Middle,4,51,220,0,33,3,0,23,279,5,5,1,5,8,11,0,0,0,0,0,0,0,0
135,1685,1967,47,Gen X,PhD,62981.0,2013-03-17,High,2,21,796,14,590,38,44,0,1482,1,4,5,13,3,22,0,1,0,0,0,0,0,1
136,5342,1976,38,Gen X,Basic,9548.0,2012-08-08,Low,2,31,0,1,3,10,6,9,29,2,1,0,3,8,4,0,0,0,0,0,0,0,0
137,9579,1959,55,Baby Boomer,PhD,33762.0,2013-07-07,Middle,5,61,53,1,34,2,0,16,106,3,2,2,2,8,6,0,0,0,0,0,0,0,0
138,7660,1973,41,Gen X,PhD,35860.0,2014-05-19,Middle,3,37,15,0,8,4,2,20,49,2,1,1,2,5,4,1,0,0,0,0,0,1,2
139,1461,1965,49,Gen X,PhD,36921.0,2013-07-28,Middle,3,74,17,1,12,3,1,4,38,2,2,0,3,7,5,0,0,0,0,0,0,0,0
140,821,1992,22,Millennials,Master,92859.0,2012-10-19,Very High,1,46,962,61,921,52,61,20,2077,1,5,4,12,2,21,0,0,0,0,0,0,0,0
141,11084,1976,38,Gen X,Master,65104.0,2013-11-14,High,3,4,738,0,232,13,20,50,1053,2,3,5,7,7,15,0,0,0,0,0,0,1,1
142,8690,1962,52,Baby Boomer,Graduation,86111.0,2013-04-19,High,2,73,399,28,756,36,40,126,1385,1,5,7,10,2,22,0,0,0,0,0,0,0,0
143,2937,1974,40,Gen X,PhD,68352.0,2013-08-28,High,2,47,614,16,132,43,33,33,871,3,8,5,9,6,22,0,0,0,0,0,0,0,0
144,9701,1988,26,Millennials,Graduation,41883.0,2013-03-19,Middle,3,13,32,34,41,73,16,116,312,3,4,2,3,7,9,0,0,0,0,0,0,0,0
145,9949,1976,38,Gen X,Graduation,59809.0,2012-10-18,Middle,4,36,598,16,141,32,41,49,877,3,3,3,6,8,12,0,0,0,0,0,0,0,0
146,10837,1975,39,Gen X,Graduation,23957.0,2012-10-28,Low,3,47,2,1,18,20,11,16,68,1,2,0,3,6,5,0,0,0,0,0,0,1,1
147,3120,1981,33,Millennials,Graduation,38547.0,2013-08-28,Middle,3,49,6,1,10,0,1,4,22,1,1,0,2,8,3,0,0,0,0,0,1,0,0
148,5885,1973,41,Gen X,Master,35688.0,2012-08-22,Middle,5,94,73,3,90,12,1,32,211,7,4,1,4,8,9,0,0,0,0,0,0,0,0
149,4050,1966,48,Gen X,Master,49605.0,2014-06-21,Middle,2,65,42,16,29,12,20,8,127,1,2,1,4,3,7,0,0,0,0,0,0,0,0
150,3830,1953,61,Baby Boomer,Master,59354.0,2014-04-24,Middle,4,59,295,21,78,39,13,13,459,1,4,4,7,3,15,0,0,0,0,0,0,0,0
151,7987,1969,45,Gen X,Graduation,65747.0,2014-03-07,High,3,96,346,17,48,23,13,13,460,4,8,1,6,6,15,0,1,0,0,0,0,0,1
152,7798,1972,42,Gen X,Master,46344.0,2012-12-14,Middle,3,28,233,20,57,8,20,91,429,4,7,1,5,7,13,0,0,0,0,0,0,0,0
153,92,1988,26,Millennials,Graduation,34176.0,2014-05-12,Middle,2,12,5,7,24,19,14,20,89,4,3,0,4,6,7,0,0,0,0,0,0,0,0
154,7055,1952,62,Baby Boomer,PhD,61010.0,2012-10-09,High,3,57,888,0,57,0,0,76,1021,2,8,5,11,5,24,0,0,0,0,0,0,0,0
155,10240,1949,65,Baby Boomer,Graduation,69372.0,2013-02-19,High,2,10,997,26,269,34,13,42,1381,1,10,4,6,4,20,0,1,1,0,0,0,1,3
156,3025,1958,56,Baby Boomer,Graduation,49967.0,2013-07-08,Middle,2,4,212,6,69,4,12,3,306,3,6,1,5,7,12,0,0,0,0,0,0,0,0
157,9283,1978,36,Gen X,Graduation,60199.0,2013-09-12,High,4,49,8,1,7,2,0,0,18,1,0,0,3,4,3,0,0,0,0,0,0,0,0
158,9970,1977,37,Gen X,Graduation,55375.0,2013-10-17,Middle,3,3,42,11,57,10,28,14,162,1,1,1,6,2,8,0,0,0,0,0,0,0,0
159,2730,1955,59,Baby Boomer,Graduation,80317.0,2013-08-20,High,1,64,536,11,387,149,91,57,1231,1,3,4,10,1,17,0,0,0,0,0,0,0,0
160,2795,1958,56,Baby Boomer,Master,30523.0,2013-07-01,Middle,4,0,5,0,3,0,0,5,13,1,1,0,2,7,3,0,0,0,0,0,0,0,0
161,9260,1945,69,Silent Gen,PhD,70356.0,2012-11-05,High,2,20,1349,16,249,43,16,33,1706,2,10,6,9,6,25,0,0,0,0,0,0,0,0
162,8182,1984,30,Millennials,Graduation,23228.0,2014-01-05,Low,3,91,53,3,49,7,4,5,121,4,3,0,4,8,7,0,0,0,0,0,0,0,0
163,10095,1975,39,Gen X,PhD,74165.0,2013-05-01,High,1,9,1001,12,240,16,12,12,1293,1,5,4,10,2,19,0,0,0,0,0,0,0,0
164,8475,1973,41,Gen X,PhD,157243.0,2014-03-01,Very High,3,98,20,2,1582,1,2,1,1608,15,0,22,0,0,22,0,0,0,0,0,0,0,0
165,4370,1966,48,Gen X,Graduation,43482.0,2013-11-13,Middle,5,83,18,1,32,6,3,28,88,3,2,0,4,6,6,0,0,0,0,0,0,0,0
166,10573,1953,61,Baby Boomer,Graduation,62551.0,2013-11-18,High,1,27,125,16,98,134,21,27,421,1,6,7,4,3,17,1,0,0,0,0,0,0,1
167,3712,1959,55,Baby Boomer,Graduation,52332.0,2013-08-28,Middle,1,63,212,5,33,7,0,2,259,1,3,2,6,4,11,0,1,0,0,0,0,0,1
168,6637,1988,26,Millennials,Graduation,66951.0,2013-11-02,High,1,46,277,162,305,173,76,124,1117,1,3,4,7,1,14,0,0,0,0,0,0,0,0
169,3152,1957,57,Baby Boomer,Graduation,26091.0,2014-02-25,Low,4,84,15,10,19,8,17,20,89,3,2,1,3,5,6,0,0,0,0,0,0,0,0
170,5610,1965,49,Gen X,Graduation,33456.0,2014-04-21,Middle,4,58,7,3,10,8,1,7,36,2,1,0,3,7,4,0,0,0,0,0,0,0,0
171,6460,1982,32,Millennials,Graduation,28718.0,2013-07-13,Low,3,78,12,4,6,11,8,16,57,2,2,0,3,8,5,0,0,0,0,0,0,0,0
172,1349,1970,44,Gen X,Graduation,50447.0,2014-04-21,Middle,4,4,85,7,24,2,3,27,148,1,3,1,3,6,7,0,0,0,0,0,0,0,0
173,1880,1959,55,Baby Boomer,PhD,53537.0,2014-01-30,Middle,4,17,81,0,6,0,0,6,93,2,2,1,3,5,6,0,0,0,0,0,0,0,0
174,641,1967,47,Gen X,Graduation,52074.0,2014-04-04,Middle,2,77,59,0,12,0,0,48,119,1,2,2,2,4,6,1,0,0,0,0,0,0,1
175,8717,1975,39,Gen X,PhD,80427.0,2012-09-12,High,3,56,1149,71,449,69,71,26,1835,1,11,8,8,5,27,0,0,0,0,0,0,0,0
176,10314,1948,66,Baby Boomer,PhD,83837.0,2012-12-16,High,2,79,847,66,119,86,89,111,1318,1,9,10,5,4,24,0,1,0,1,0,0,1,3
177,10854,1970,44,Gen X,PhD,38853.0,2014-05-23,Middle,4,90,29,0,14,0,0,2,45,2,2,0,3,7,5,0,0,0,0,0,0,0,0
178,10492,1959,55,Baby Boomer,Graduation,38285.0,2014-06-24,Middle,5,96,2,0,5,2,0,1,10,1,0,0,3,2,3,0,0,0,0,0,0,0,0
