,Customer ID,R Rank,F Rank,M Rank,R,F,M,RFM_SCORE,Segment
30,6864,66.0,7.0,25.0,2,1,1,4,New Customer
31,3033,44.0,11.0,256.0,3,2,2,7,Potential Loyalists Customer
32,5710,69.0,8.0,109.0,2,2,2,6,Potential Loyalists Customer
33,7373,92.0,12.0,244.0,1,2,2,5,New Customer
34,8755,96.0,18.0,735.0,1,3,4,8,Loyal Customer
35,10738,45.0,6.0,60.0,3,1,1,5,New Customer
36,4339,63.0,24.0,571.0,2,4,3,9,Loyal Customer
37,10755,24.0,7.0,76.0,4,1,2,7,Potential Loyalists Customer
38,8595,1.0,6.0,62.0,4,1,1,6,Potential Loyalists Customer
39,2968,47.0,23.0,563.0,3,4,3,10,Loyal Customer
40,8601,97.0,20.0,820.0,1,4,4,9,Loyal Customer
41,503,12.0,6.0,48.0,4,1,1,6,Potential Loyalists Customer
42,8430,96.0,4.0,17.0,1,1,1,3,Potential Lost Customer
44,2139,81.0,6.0,26.0,1,1,1,3,Potential Lost Customer
45,1371,28.0,16.0,610.0,3,3,3,9,Loyal Customer
47,7286,8.0,5.0,50.0,4,1,1,6,Potential Loyalists Customer
49,6566,61.0,20.0,787.0,2,4,4,10,Loyal Customer
50,8614,71.0,17.0,371.0,2,3,3,8,Loyal Customer
51,4114,98.0,29.0,931.0,1,4,4,9,Loyal Customer
52,1331,46.0,6.0,67.0,3,1,2,6,Potential Loyalists Customer
53,2225,46.0,21.0,902.0,3,4,4,11,Loyal Customer
54,9381,43.0,17.0,418.0,3,3,3,9,Loyal Customer
55,6260,45.0,27.0,999.0,3,4,4,11,Loyal Customer
56,10383,70.0,21.0,672.0,2,4,4,10,Loyal Customer
57,7437,69.0,6.0,24.0,2,1,1,4,New Customer
59,8375,37.0,17.0,373.0,3,3,3,9,Loyal Customer
60,6853,88.0,21.0,833.0,1,4,4,9,Loyal Customer
61,3076,82.0,19.0,422.0,1,3,3,7,Potential Loyalists Customer
62,1012,74.0,21.0,553.0,2,4,3,9,Loyal Customer
63,6518,92.0,19.0,418.0,1,3,3,7,Potential Loyalists Customer
64,4137,71.0,16.0,660.0,2,3,4,9,Loyal Customer
65,8082,25.0,5.0,29.0,4,1,1,6,Potential Loyalists Customer
66,1386,100.0,4.0,6.0,1,1,1,3,Potential Lost Customer
67,9369,81.0,32.0,768.0,1,4,4,9,Loyal Customer
68,4477,96.0,18.0,438.0,1,3,3,7,Potential Loyalists Customer
69,1357,10.0,13.0,879.0,4,2,4,10,Loyal Customer
70,1402,99.0,19.0,760.0,1,3,4,8,Loyal Customer
72,6312,71.0,27.0,544.0,2,4,3,9,Loyal Customer
73,8132,12.0,20.0,443.0,4,4,3,11,Loyal Customer
74,1050,42.0,8.0,60.0,3,2,1,6,Potential Loyalists Customer
75,5846,32.0,4.0,8.0,3,1,1,5,New Customer
76,1859,66.0,19.0,980.0,2,3,4,9,Loyal Customer
77,7503,60.0,23.0,1032.0,2,4,4,10,Loyal Customer
78,10401,88.0,4.0,13.0,1,1,1,3,Potential Lost Customer
79,1618,91.0,20.0,459.0,1,4,3,8,Loyal Customer
80,3332,13.0,9.0,148.0,4,2,2,8,Loyal Customer
81,2261,95.0,4.0,11.0,1,1,1,3,Potential Lost Customer
82,5346,13.0,7.0,74.0,4,1,2,7,Potential Loyalists Customer
84,535,82.0,27.0,502.0,1,4,3,8,Loyal Customer
85,5268,5.0,6.0,51.0,4,1,1,6,Potential Loyalists Customer
86,273,52.0,9.0,136.0,2,2,2,6,Potential Loyalists Customer
87,4452,97.0,14.0,288.0,1,3,2,6,Potential Loyalists Customer
88,8504,30.0,19.0,802.0,3,3,4,10,Loyal Customer
89,771,21.0,10.0,172.0,4,2,2,8,Loyal Customer
93,11178,31.0,5.0,27.0,3,1,1,5,New Customer
94,2230,16.0,8.0,38.0,4,2,1,7,Potential Loyalists Customer
95,7516,70.0,6.0,40.0,2,1,1,4,New Customer
96,7247,28.0,18.0,418.0,3,3,3,9,Loyal Customer
97,11100,63.0,6.0,58.0,2,1,1,4,New Customer
98,4646,56.0,25.0,607.0,2,4,3,9,Loyal Customer
99,3037,68.0,15.0,310.0,2,3,3,8,Loyal Customer
100,1473,100.0,6.0,67.0,1,1,2,4,New Customer
101,1016,57.0,6.0,50.0,2,1,1,4,New Customer
102,4518,41.0,26.0,717.0,3,4,4,11,Loyal Customer
103,9370,32.0,16.0,687.0,3,3,4,10,Loyal Customer
104,8908,65.0,20.0,674.0,2,4,4,10,Loyal Customer
105,8373,6.0,5.0,24.0,4,1,1,6,Potential Loyalists Customer
106,7533,85.0,10.0,166.0,1,2,2,5,New Customer
107,2683,44.0,23.0,570.0,3,4,3,10,Loyal Customer
108,3629,83.0,8.0,131.0,1,2,2,5,New Customer
109,10991,82.0,14.0,538.0,1,3,3,7,Potential Loyalists Customer
110,5077,54.0,24.0,601.0,2,4,3,9,Loyal Customer
111,7431,60.0,17.0,967.0,2,3,4,9,Loyal Customer
112,3267,73.0,18.0,419.0,2,3,3,8,Loyal Customer
113,999,5.0,25.0,476.0,4,4,3,11,Loyal Customer
114,9215,81.0,17.0,390.0,1,3,3,7,Potential Loyalists Customer
115,2286,73.0,7.0,104.0,2,1,2,5,New Customer
116,1592,75.0,16.0,939.0,2,3,4,9,Loyal Customer
117,367,26.0,16.0,404.0,4,3,3,10,Loyal Customer
118,5234,15.0,6.0,76.0,4,1,2,7,Potential Loyalists Customer
119,9862,63.0,6.0,28.0,2,1,1,4,New Customer
120,9805,35.0,19.0,442.0,3,3,3,9,Loyal Customer
121,6205,87.0,7.0,75.0,1,1,2,4,New Customer
122,8442,37.0,5.0,25.0,3,1,1,5,New Customer
123,7386,17.0,5.0,38.0,4,1,1,6,Potential Loyalists Customer
124,7215,31.0,28.0,696.0,3,4,4,11,Loyal Customer
125,1491,13.0,15.0,393.0,4,3,3,10,Loyal Customer
126,11071,63.0,16.0,991.0,2,3,4,9,Loyal Customer
127,3381,49.0,7.0,85.0,3,1,2,6,Potential Loyalists Customer
129,11051,28.0,20.0,443.0,3,4,3,10,Loyal Customer
130,8026,90.0,15.0,346.0,1,3,3,7,Potential Loyalists Customer
131,433,58.0,19.0,428.0,2,3,3,8,Loyal Customer
132,9597,90.0,19.0,471.0,1,3,3,7,Potential Loyalists Customer
134,5290,49.0,12.0,229.0,3,2,2,7,Potential Loyalists Customer
135,1685,79.0,23.0,851.0,1,4,4,9,Loyal Customer
136,5342,69.0,5.0,24.0,2,1,1,4,New Customer
137,9579,39.0,7.0,99.0,3,1,2,6,Potential Loyalists Customer
138,7660,63.0,5.0,44.0,2,1,1,4,New Customer
139,1461,26.0,6.0,33.0,4,1,1,6,Potential Loyalists Customer
140,821,54.0,22.0,1017.0,2,4,4,10,Loyal Customer
141,11084,96.0,16.0,649.0,1,3,4,8,Loyal Customer
142,8690,27.0,23.0,816.0,3,4,4,11,Loyal Customer
143,2937,53.0,23.0,547.0,2,4,3,9,Loyal Customer
144,9701,87.0,10.0,251.0,1,2,2,5,New Customer
145,9949,64.0,13.0,550.0,2,2,3,7,Potential Loyalists Customer
146,10837,53.0,6.0,63.0,2,1,1,4,New Customer
147,3120,51.0,4.0,17.0,3,1,1,5,New Customer
148,5885,6.0,10.0,181.0,4,2,2,8,Loyal Customer
149,4050,35.0,8.0,115.0,3,2,2,7,Potential Loyalists Customer
150,3830,41.0,16.0,343.0,3,3,3,9,Loyal Customer
151,7987,4.0,16.0,344.0,4,3,3,10,Loyal Customer
152,7798,72.0,14.0,324.0,2,3,3,8,Loyal Customer
153,92,88.0,8.0,84.0,1,2,2,5,New Customer
154,7055,43.0,25.0,630.0,3,4,3,10,Loyal Customer
155,10240,90.0,21.0,813.0,1,4,4,9,Loyal Customer
156,3025,96.0,13.0,247.0,1,2,2,5,New Customer
157,9283,51.0,4.0,13.0,3,1,1,5,New Customer
158,9970,97.0,9.0,146.0,1,2,2,5,New Customer
159,2730,36.0,18.0,750.0,3,3,4,10,Loyal Customer
160,2795,100.0,4.0,8.0,1,1,1,3,Potential Lost Customer
161,9260,80.0,26.0,935.0,1,4,4,9,Loyal Customer
162,8182,9.0,8.0,110.0,4,2,2,8,Loyal Customer
163,10095,91.0,20.0,778.0,1,4,4,9,Loyal Customer
164,8475,2.0,23.0,898.0,4,4,4,12,Loyal Customer
165,4370,17.0,7.0,83.0,4,1,2,7,Potential Loyalists Customer
166,10573,73.0,18.0,318.0,2,3,3,8,Loyal Customer
167,3712,37.0,12.0,212.0,3,2,2,7,Potential Loyalists Customer
168,6637,54.0,15.0,686.0,2,3,4,9,Loyal Customer
169,3152,16.0,7.0,84.0,4,1,2,7,Potential Loyalists Customer
170,5610,42.0,5.0,31.0,3,1,1,5,New Customer
171,6460,22.0,6.0,52.0,4,1,1,6,Potential Loyalists Customer
172,1349,96.0,8.0,134.0,1,2,2,5,New Customer
173,1880,83.0,7.0,88.0,1,1,2,4,New Customer
174,641,23.0,7.0,108.0,4,1,2,7,Potential Loyalists Customer
175,8717,44.0,28.0,974.0,3,4,4,11,Loyal Customer
176,10314,21.0,25.0,786.0,4,4,4,12,Loyal Customer
177,10854,10.0,6.0,40.0,4,1,1,6,Potential Loyalists Customer
178,10492,4.0,4.0,5.0,4,1,1,6,Potential Loyalists Customer
180,7698,19.0,10.0,169.0,4,2,2,8,Loyal Customer
181,3559,23.0,7.0,52.0,4,1,1,6,Potential Loyalists Customer
182,10562,79.0,24.0,636.0,1,4,3,8,Loyal Customer
183,10796,84.0,6.0,61.0,1,1,1,3,Potential Lost Customer
184,2563,20.0,6.0,38.0,4,1,1,6,Potential Loyalists Customer
185,3518,55.0,5.0,45.0,2,1,1,4,New Customer
186,5823,37.0,6.0,34.0,3,1,1,5,New Customer
187,3934,66.0,17.0,419.0,2,3,3,8,Loyal Customer
188,6982,86.0,24.0,889.0,1,4,4,9,Loyal Customer
189,6431,87.0,6.0,63.0,1,1,1,3,Potential Lost Customer
190,9733,48.0,5.0,75.0,3,1,2,6,Potential Loyalists Customer
191,5602,2.0,28.0,772.0,4,4,4,12,Loyal Customer
193,1324,7.0,7.0,86.0,4,1,2,7,Potential Loyalists Customer
194,326,62.0,13.0,253.0,2,2,2,6,Potential Loyalists Customer
195,7224,76.0,5.0,26.0,2,1,1,4,New Customer
196,6999,20.0,23.0,529.0,4,4,3,11,Loyal Customer
197,9938,18.0,17.0,896.0,4,3,4,11,Loyal Customer
198,6422,80.0,17.0,766.0,1,3,4,8,Loyal Customer
199,3182,19.0,10.0,214.0,4,2,2,8,Loyal Customer
200,7300,50.0,17.0,384.0,3,3,3,9,Loyal Customer
201,10424,40.0,18.0,779.0,3,3,4,10,Loyal Customer
202,8727,37.0,27.0,705.0,3,4,4,11,Loyal Customer
203,2798,46.0,27.0,754.0,3,4,4,11,Loyal Customer
204,1030,28.0,5.0,33.0,3,1,1,5,New Customer
205,624,95.0,4.0,30.0,1,1,1,3,Potential Lost Customer
206,5176,12.0,5.0,48.0,4,1,1,6,Potential Loyalists Customer
207,5552,50.0,12.0,237.0,3,2,2,7,Potential Loyalists Customer
208,868,1.0,6.0,60.0,4,1,1,6,Potential Loyalists Customer
209,380,83.0,25.0,962.0,1,4,4,9,Loyal Customer
210,2677,89.0,11.0,201.0,1,2,2,5,New Customer
211,6521,82.0,20.0,676.0,1,4,4,9,Loyal Customer
212,6927,30.0,12.0,215.0,3,2,2,7,Potential Loyalists Customer
213,2877,79.0,17.0,385.0,1,3,3,7,Potential Loyalists Customer
214,0,34.0,17.0,736.0,3,3,4,10,Loyal Customer
215,1584,21.0,15.0,353.0,4,3,3,10,Loyal Customer
216,7264,98.0,4.0,12.0,1,1,1,3,Potential Lost Customer
217,6274,19.0,25.0,900.0,4,4,4,12,Loyal Customer
218,1377,76.0,11.0,233.0,2,2,2,6,Potential Loyalists Customer
219,454,52.0,27.0,696.0,2,4,4,10,Loyal Customer
220,1755,7.0,7.0,104.0,4,1,2,7,Potential Loyalists Customer
221,2075,44.0,16.0,645.0,3,3,3,9,Loyal Customer
222,4785,97.0,21.0,467.0,1,4,3,8,Loyal Customer
223,9076,56.0,10.0,164.0,2,2,2,6,Potential Loyalists Customer
224,7079,62.0,28.0,758.0,2,4,4,10,Loyal Customer
225,4653,54.0,9.0,168.0,2,2,2,6,Potential Loyalists Customer
226,7375,16.0,15.0,403.0,4,3,3,10,Loyal Customer
227,709,73.0,16.0,678.0,2,3,4,9,Loyal Customer
228,460,28.0,17.0,948.0,3,3,4,10,Loyal Customer
229,3726,34.0,4.0,12.0,3,1,1,5,New Customer
230,6798,70.0,15.0,326.0,2,3,3,8,Loyal Customer
231,5341,98.0,14.0,892.0,1,3,4,8,Loyal Customer
232,1606,35.0,4.0,17.0,3,1,1,5,New Customer
233,9617,63.0,5.0,14.0,2,1,1,4,New Customer
234,3233,11.0,27.0,686.0,4,4,4,12,Loyal Customer
235,89,51.0,7.0,64.0,3,1,1,5,New Customer
236,2936,54.0,5.0,18.0,2,1,1,4,New Customer
237,9449,68.0,19.0,417.0,2,3,3,8,Loyal Customer
238,7297,46.0,8.0,52.0,3,2,1,6,Potential Loyalists Customer
240,313,2.0,22.0,1020.0,4,4,4,12,Loyal Customer
241,9940,3.0,15.0,624.0,4,3,3,10,Loyal Customer
242,10735,25.0,5.0,21.0,4,1,1,6,Potential Loyalists Customer
243,9529,92.0,22.0,905.0,1,4,4,9,Loyal Customer
244,6439,63.0,25.0,677.0,2,4,4,10,Loyal Customer
245,7411,69.0,5.0,12.0,2,1,1,4,New Customer
246,2176,60.0,15.0,929.0,2,3,4,9,Loyal Customer
247,9265,26.0,20.0,818.0,4,4,4,12,Loyal Customer
248,8867,10.0,20.0,1027.0,4,4,4,12,Loyal Customer
249,8932,43.0,22.0,872.0,3,4,4,11,Loyal Customer
250,10236,41.0,6.0,59.0,3,1,1,5,New Customer
251,6340,48.0,5.0,21.0,3,1,1,5,New Customer
252,10089,95.0,29.0,683.0,1,4,4,9,Loyal Customer
253,2227,8.0,10.0,180.0,4,2,2,8,Loyal Customer
254,10992,23.0,22.0,703.0,4,4,4,12,Loyal Customer
255,5304,65.0,5.0,28.0,2,1,1,4,New Customer
256,309,52.0,17.0,676.0,2,3,4,9,Loyal Customer
257,3406,3.0,13.0,259.0,4,2,2,8,Loyal Customer
258,2661,5.0,7.0,39.0,4,1,1,6,Potential Loyalists Customer
259,3153,76.0,4.0,12.0,2,1,1,4,New Customer
260,10264,40.0,5.0,26.0,3,1,1,5,New Customer
261,1184,54.0,23.0,536.0,2,4,3,9,Loyal Customer
262,4200,15.0,12.0,226.0,4,2,2,8,Loyal Customer
263,9396,69.0,4.0,20.0,2,1,1,4,New Customer
264,2387,91.0,12.0,226.0,1,2,2,5,New Customer
265,6690,70.0,8.0,85.0,2,2,2,6,Potential Loyalists Customer
266,1225,53.0,19.0,856.0,2,3,4,9,Loyal Customer
267,9703,30.0,8.0,163.0,3,2,2,7,Potential Loyalists Customer
268,291,87.0,13.0,608.0,1,2,3,6,Potential Loyalists Customer
269,4557,89.0,7.0,62.0,1,1,1,3,Potential Lost Customer
270,2379,69.0,13.0,908.0,2,2,4,8,Loyal Customer
271,5726,85.0,8.0,55.0,1,2,1,4,New Customer
272,3066,98.0,11.0,194.0,1,2,2,5,New Customer
273,6336,45.0,7.0,43.0,3,1,1,5,New Customer
274,10967,62.0,7.0,94.0,2,1,2,5,New Customer
275,2304,14.0,22.0,497.0,4,4,3,11,Loyal Customer
276,3445,44.0,22.0,592.0,3,4,3,10,Loyal Customer
277,7828,71.0,12.0,522.0,2,2,3,7,Potential Loyalists Customer
278,3762,70.0,17.0,576.0,2,3,3,8,Loyal Customer
279,4391,36.0,22.0,568.0,3,4,3,10,Loyal Customer
280,4669,54.0,8.0,97.0,2,2,2,6,Potential Loyalists Customer
283,1672,26.0,15.0,345.0,4,3,3,10,Loyal Customer
284,8962,82.0,6.0,32.0,1,1,1,3,Potential Lost Customer
285,9974,25.0,7.0,65.0,4,1,2,7,Potential Loyalists Customer
286,10983,83.0,23.0,580.0,1,4,3,8,Loyal Customer
287,8148,12.0,21.0,541.0,4,4,3,11,Loyal Customer
288,10102,81.0,22.0,849.0,1,4,4,9,Loyal Customer
289,4697,38.0,14.0,296.0,3,3,2,8,Loyal Customer
290,9262,89.0,5.0,47.0,1,1,1,3,Potential Lost Customer
291,7254,26.0,8.0,124.0,4,2,2,8,Loyal Customer
292,4543,68.0,19.0,989.0,2,3,4,9,Loyal Customer
293,4927,24.0,7.0,63.0,4,1,1,6,Potential Loyalists Customer
294,10451,94.0,4.0,20.0,1,1,1,3,Potential Lost Customer
295,2926,38.0,21.0,806.0,3,4,4,11,Loyal Customer
296,2874,80.0,5.0,27.0,1,1,1,3,Potential Lost Customer
297,9738,57.0,7.0,95.0,2,1,2,5,New Customer
298,7119,55.0,12.0,526.0,2,2,3,7,Potential Loyalists Customer
299,3924,66.0,24.0,574.0,2,4,3,9,Loyal Customer
300,5827,47.0,8.0,57.0,3,2,1,6,Potential Loyalists Customer
301,5596,56.0,21.0,474.0,2,4,3,9,Loyal Customer
302,10812,11.0,7.0,85.0,4,1,2,7,Potential Loyalists Customer
303,1717,57.0,11.0,224.0,2,2,2,6,Potential Loyalists Customer
304,9491,32.0,8.0,61.0,3,2,1,6,Potential Loyalists Customer
305,9274,56.0,23.0,741.0,2,4,4,10,Loyal Customer
306,6609,36.0,7.0,100.0,3,1,2,6,Potential Loyalists Customer
307,6963,15.0,18.0,710.0,4,3,4,11,Loyal Customer
308,4440,7.0,18.0,389.0,4,3,3,10,Loyal Customer
309,1379,88.0,11.0,201.0,1,2,2,5,New Customer
310,10032,14.0,8.0,48.0,4,2,1,7,Potential Loyalists Customer
311,2826,72.0,6.0,32.0,2,1,1,4,New Customer
313,6320,58.0,23.0,862.0,2,4,4,10,Loyal Customer
314,3050,87.0,11.0,197.0,1,2,2,5,New Customer
315,231,14.0,6.0,27.0,4,1,1,6,Potential Loyalists Customer
316,2392,41.0,7.0,97.0,3,1,2,6,Potential Loyalists Customer
317,9478,70.0,14.0,304.0,2,3,3,8,Loyal Customer
318,113,67.0,5.0,23.0,2,1,1,4,New Customer
320,1802,77.0,19.0,450.0,1,3,3,7,Potential Loyalists Customer
321,520,19.0,4.0,25.0,4,1,1,6,Potential Loyalists Customer
322,8275,94.0,4.0,15.0,1,1,1,3,Potential Lost Customer
323,9750,59.0,19.0,782.0,2,3,4,9,Loyal Customer
324,2607,22.0,19.0,427.0,4,3,3,10,Loyal Customer
325,7214,51.0,18.0,773.0,3,3,4,10,Loyal Customer
326,5835,61.0,7.0,60.0,2,1,1,4,New Customer
327,3896,97.0,5.0,32.0,1,1,1,3,Potential Lost Customer
328,10350,63.0,5.0,33.0,2,1,1,4,New Customer
329,7786,78.0,9.0,144.0,1,2,2,5,New Customer
330,2861,21.0,4.0,18.0,4,1,1,6,Potential Loyalists Customer
331,663,54.0,6.0,66.0,2,1,2,5,New Customer
332,10675,18.0,18.0,713.0,4,3,4,11,Loyal Customer
333,2521,90.0,5.0,54.0,1,1,1,3,Potential Lost Customer
334,9592,49.0,6.0,28.0,3,1,1,5,New Customer
335,10151,62.0,22.0,589.0,2,4,3,9,Loyal Customer
336,7381,90.0,22.0,835.0,1,4,4,9,Loyal Customer
337,4099,86.0,5.0,57.0,1,1,1,3,Potential Lost Customer
338,9560,82.0,22.0,920.0,1,4,4,9,Loyal Customer
340,10172,5.0,21.0,875.0,4,4,4,12,Loyal Customer
341,11191,89.0,8.0,126.0,1,2,2,5,New Customer
342,9707,35.0,18.0,725.0,3,3,4,10,Loyal Customer
343,6245,29.0,17.0,371.0,3,3,3,9,Loyal Customer
344,8234,87.0,4.0,13.0,1,1,1,3,Potential Lost Customer
345,1411,42.0,16.0,586.0,3,3,3,9,Loyal Customer
346,8553,35.0,5.0,37.0,3,1,1,5,New Customer
347,1826,100.0,15.0,730.0,1,3,4,8,Loyal Customer
348,8842,67.0,6.0,39.0,2,1,1,4,New Customer
349,11030,10.0,4.0,11.0,4,1,1,6,Potential Loyalists Customer
350,2579,5.0,23.0,530.0,4,4,3,11,Loyal Customer
351,175,7.0,21.0,836.0,4,4,4,12,Loyal Customer
352,9185,62.0,16.0,635.0,2,3,3,8,Loyal Customer
353,11056,82.0,18.0,728.0,1,3,4,8,Loyal Customer
354,9365,43.0,20.0,769.0,3,4,4,11,Loyal Customer
355,6201,55.0,6.0,44.0,2,1,1,4,New Customer
356,2061,39.0,7.0,94.0,3,1,2,6,Potential Loyalists Customer
357,6184,94.0,15.0,918.0,1,3,4,8,Loyal Customer
358,6142,35.0,14.0,561.0,3,3,3,9,Loyal Customer
359,4107,48.0,15.0,321.0,3,3,3,9,Loyal Customer
360,7274,13.0,22.0,1029.0,4,4,4,12,Loyal Customer
361,9336,62.0,19.0,432.0,2,3,3,8,Loyal Customer
362,2958,47.0,8.0,52.0,3,2,1,6,Potential Loyalists Customer
364,5837,33.0,16.0,362.0,3,3,3,9,Loyal Customer
365,10704,35.0,18.0,460.0,3,3,3,9,Loyal Customer
366,5125,36.0,26.0,798.0,3,4,4,11,Loyal Customer
367,4432,18.0,6.0,46.0,4,1,1,6,Potential Loyalists Customer
368,5955,73.0,16.0,995.0,2,3,4,9,Loyal Customer
369,2928,37.0,15.0,613.0,3,3,3,9,Loyal Customer
370,5680,34.0,5.0,25.0,3,1,1,5,New Customer
371,10313,31.0,11.0,208.0,3,2,2,7,Potential Loyalists Customer
372,2557,48.0,5.0,24.0,3,1,1,5,New Customer
373,1245,55.0,20.0,805.0,2,4,4,10,Loyal Customer
374,1519,98.0,7.0,68.0,1,1,2,4,New Customer
375,10703,14.0,8.0,109.0,4,2,2,8,Loyal Customer
376,1726,77.0,5.0,76.0,1,1,2,4,New Customer
377,4459,87.0,5.0,32.0,1,1,1,3,Potential Lost Customer
378,1729,86.0,19.0,809.0,1,3,4,8,Loyal Customer
379,1517,8.0,5.0,46.0,4,1,1,6,Potential Loyalists Customer
380,2098,62.0,4.0,12.0,2,1,1,4,New Customer
381,9543,26.0,4.0,17.0,4,1,1,6,Potential Loyalists Customer
382,6878,86.0,12.0,260.0,1,2,2,5,New Customer
384,2724,67.0,4.0,14.0,2,1,1,4,New Customer
385,948,68.0,6.0,36.0,2,1,1,4,New Customer
386,6720,89.0,15.0,360.0,1,3,3,7,Potential Loyalists Customer
387,6202,22.0,23.0,621.0,4,4,3,11,Loyal Customer
388,2066,44.0,7.0,104.0,3,1,2,6,Potential Loyalists Customer
389,9799,43.0,17.0,719.0,3,3,4,10,Loyal Customer
390,8318,93.0,20.0,945.0,1,4,4,9,Loyal Customer
391,5642,100.0,11.0,189.0,1,2,2,5,New Customer
392,2669,34.0,16.0,691.0,3,3,4,10,Loyal Customer
393,455,14.0,10.0,179.0,4,2,2,8,Loyal Customer
394,7683,20.0,21.0,504.0,4,4,3,11,Loyal Customer
395,3428,44.0,24.0,895.0,3,4,4,11,Loyal Customer
396,7414,82.0,9.0,165.0,1,2,2,5,New Customer
397,6354,49.0,5.0,42.0,3,1,1,5,New Customer
398,798,29.0,5.0,22.0,3,1,1,5,New Customer
399,8213,29.0,8.0,91.0,3,2,2,7,Potential Loyalists Customer
400,2488,20.0,7.0,59.0,4,1,1,6,Potential Loyalists Customer
401,9999,98.0,23.0,640.0,1,4,3,8,Loyal Customer
402,7617,17.0,9.0,147.0,4,2,2,8,Loyal Customer
403,615,71.0,11.0,270.0,2,2,2,6,Potential Loyalists Customer
404,2552,89.0,16.0,335.0,1,3,3,7,Potential Loyalists Customer
405,194,45.0,5.0,36.0,3,1,1,5,New Customer
406,3645,81.0,7.0,65.0,1,1,2,4,New Customer
407,8890,99.0,12.0,223.0,1,2,2,5,New Customer
408,5049,81.0,6.0,41.0,1,1,1,3,Potential Lost Customer
409,9973,72.0,17.0,358.0,2,3,3,8,Loyal Customer
410,7301,24.0,7.0,74.0,4,1,2,7,Potential Loyalists Customer
411,10882,50.0,14.0,573.0,3,3,3,9,Loyal Customer
412,7030,99.0,33.0,853.0,1,4,4,9,Loyal Customer
413,7422,10.0,14.0,286.0,4,3,2,9,Loyal Customer
414,3523,17.0,18.0,659.0,4,3,4,11,Loyal Customer
415,7106,27.0,19.0,756.0,3,3,4,10,Loyal Customer
416,6504,76.0,7.0,73.0,2,1,2,5,New Customer
417,5067,89.0,21.0,810.0,1,4,4,9,Loyal Customer
418,4216,67.0,26.0,847.0,2,4,4,10,Loyal Customer
419,8581,96.0,21.0,487.0,1,4,3,8,Loyal Customer
420,5929,86.0,6.0,43.0,1,1,1,3,Potential Lost Customer
422,6528,25.0,4.0,5.0,4,1,1,6,Potential Loyalists Customer
423,1361,74.0,16.0,832.0,2,3,4,9,Loyal Customer
424,6932,23.0,23.0,1026.0,4,4,4,12,Loyal Customer
425,7284,92.0,4.0,15.0,1,1,1,3,Potential Lost Customer
426,1340,58.0,27.0,959.0,2,4,4,10,Loyal Customer
427,8746,72.0,18.0,728.0,2,3,4,9,Loyal Customer
428,5987,48.0,6.0,38.0,3,1,1,5,New Customer
429,3767,99.0,23.0,623.0,1,4,3,8,Loyal Customer
430,3725,99.0,16.0,928.0,1,3,4,8,Loyal Customer
431,4324,58.0,17.0,453.0,2,3,3,8,Loyal Customer
432,238,24.0,25.0,664.0,4,4,4,12,Loyal Customer
433,6694,73.0,25.0,656.0,2,4,4,10,Loyal Customer
434,498,72.0,6.0,52.0,2,1,1,4,New Customer
435,9347,51.0,5.0,41.0,3,1,1,5,New Customer
436,9699,88.0,21.0,479.0,1,4,3,8,Loyal Customer
437,10664,86.0,16.0,347.0,1,3,3,7,Potential Loyalists Customer
438,5455,11.0,8.0,111.0,4,2,2,8,Loyal Customer
439,456,4.0,6.0,31.0,4,1,1,6,Potential Loyalists Customer
440,5012,44.0,5.0,29.0,3,1,1,5,New Customer
